id,date,TotalCount,nCluster
3.8365929E9,965.0,26797.0,8.0
3.91963955E9,949.0,20357.0,8.0
4.02712166E9,943.0,13908.0,8.0
4.09286938E9,934.0,26769.0,8.0
4.21808998E9,922.0,16829.0,8.0
4.22993178E9,921.0,25711.0,8.0
4.23749862E9,915.0,12228.0,8.0
4.25917542E9,912.0,12749.0,8.0
4.3305697E9,905.0,23316.0,8.0
4.4984376E9,889.0,12852.0,8.0
4.5590728E9,884.0,18007.0,8.0
4.627222E9,883.0,22914.0,8.0
4.6548823E9,875.0,12783.0,8.0
4.7100749E9,870.0,18529.0,8.0
4.7181609E9,869.0,13123.0,8.0
4.7408E9,863.0,27549.0,8.0
7.0373603E17,815.0,14657.0,8.0
7.0511E17,812.0,20534.0,8.0
7.0558499E17,810.0,21209.0,8.0
7.1974203E17,771.0,17997.0,8.0
7.20415E17,769.0,22645.0,8.0
7.2798802E17,748.0,21432.0,8.0
7.3447198E17,731.0,25888.0,8.0
7.4220601E17,709.0,16768.0,8.0
7.46948E17,696.0,14441.0,8.0
7.5183499E17,683.0,23630.0,8.0
7.5398701E17,677.0,12681.0,8.0
7.5512699E17,674.0,19086.0,8.0
7.5632299E17,670.0,26008.0,8.0
7.5723002E17,668.0,23044.0,8.0
7.5835399E17,665.0,20822.0,8.0
7.61983E17,655.0,17598.0,8.0
7.6228901E17,654.0,16847.0,8.0
7.6490502E17,647.0,25365.0,8.0
7.6609201E17,643.0,23040.0,8.0
7.7109802E17,630.0,16152.0,8.0
7.7144698E17,629.0,27283.0,8.0
7.7259102E17,625.0,27670.0,8.0
7.7372798E17,622.0,13097.0,8.0
7.7448603E17,620.0,27438.0,8.0
7.7578201E17,617.0,12067.0,8.0
7.7666299E17,614.0,24626.0,8.0
7.79752E17,606.0,17910.0,8.0
7.81649E17,600.0,12277.0,8.0
7.8340403E17,596.0,21378.0,8.0
7.8375999E17,595.0,11729.0,8.0
7.8527402E17,590.0,11516.0,8.0
7.85646E17,589.0,25657.0,8.0
7.8566201E17,589.0,19899.0,8.0
7.8594101E17,589.0,19025.0,8.0
7.8645799E17,587.0,18883.0,8.0
7.8912499E17,580.0,20951.0,8.0
7.9643097E17,560.0,18032.0,8.0
7.97965E17,555.0,17505.0,8.0
7.9799097E17,555.0,16690.0,8.0
7.9890302E17,553.0,18742.0,8.0
7.9901001E17,553.0,27048.0,8.0
7.9963797E17,551.0,12387.0,8.0
8.0395603E17,539.0,18339.0,8.0
8.0413697E17,538.0,15043.0,8.0
8.0627002E17,533.0,21481.0,8.0
8.0744299E17,529.0,17295.0,8.0
8.0768502E17,529.0,16041.0,8.0
8.0815802E17,527.0,24042.0,8.0
8.1210101E17,516.0,18818.0,8.0
8.14964E17,509.0,27282.0,8.0
8.1496998E17,508.0,19772.0,8.0
8.1849398E17,499.0,15044.0,8.0
8.1864798E17,498.0,21094.0,8.0
8.19008E17,497.0,15500.0,8.0
8.1929999E17,497.0,16512.0,8.0
8.2143703E17,491.0,26662.0,8.0
8.2374202E17,484.0,16320.0,8.0
8.2510101E17,481.0,12833.0,8.0
8.25395E17,480.0,18315.0,8.0
8.2573103E17,479.0,13119.0,8.0
8.2574897E17,479.0,20239.0,8.0
8.2682299E17,476.0,11999.0,8.0
8.2690201E17,476.0,24403.0,8.0
8.2774603E17,473.0,11653.0,8.0
8.2973999E17,468.0,23921.0,8.0
8.3042402E17,466.0,24270.0,8.0
8.3203797E17,461.0,18488.0,8.0
8.3233903E17,461.0,19664.0,8.0
8.3341002E17,458.0,27166.0,8.0
8.3876499E17,443.0,13522.0,8.0
8.3921702E17,442.0,15638.0,8.0
8.3954901E17,441.0,20579.0,8.0
8.4209802E17,434.0,27536.0,8.0
8.4641601E17,422.0,12176.0,8.0
8.5150001E17,408.0,16877.0,8.0
8.5231399E17,405.0,14455.0,8.0
8.5300799E17,403.0,26914.0,8.0
8.5490802E17,398.0,21529.0,8.0
8.5530102E17,397.0,11597.0,8.0
8.5697998E17,393.0,21542.0,8.0
8.5884399E17,387.0,12660.0,8.0
8.60547E17,383.0,13630.0,8.0
8.6159401E17,380.0,19175.0,8.0
8.6213497E17,378.0,13003.0,8.0
8.63957E17,373.0,21219.0,8.0
8.6672598E17,366.0,19487.0,8.0
8.6705803E17,365.0,13382.0,8.0
8.67789E17,363.0,12300.0,8.0
8.6828502E17,361.0,27905.0,8.0
8.6895098E17,359.0,22790.0,8.0
8.6931299E17,358.0,12486.0,8.0
8.72096E17,351.0,15388.0,8.0
8.7442703E17,344.0,16453.0,8.0
8.7490202E17,343.0,19724.0,8.0
8.7578699E17,341.0,11490.0,8.0
8.7609403E17,340.0,11492.0,8.0
8.7730699E17,336.0,17515.0,8.0
8.77439E17,336.0,15027.0,8.0
8.7864799E17,333.0,12944.0,8.0
8.7874302E17,332.0,17484.0,8.0
8.8081897E17,327.0,28813.0,8.0
8.81224E17,326.0,18971.0,8.0
8.82342E17,323.0,18668.0,8.0
8.8517702E17,315.0,11710.0,8.0
8.9023897E17,301.0,18983.0,8.0
8.91358E17,298.0,12732.0,8.0
8.9538599E17,287.0,12163.0,8.0
8.9642097E17,284.0,16768.0,8.0
9.0035798E17,273.0,17597.0,8.0
9.0699601E17,255.0,14650.0,8.0
9.0772203E17,253.0,13764.0,8.0
9.1068803E17,244.0,13650.0,8.0
9.13113E17,238.0,14369.0,8.0
9.1329799E17,237.0,22387.0,8.0
9.1681897E17,227.0,16002.0,8.0
9.1807798E17,224.0,21246.0,8.0
9.2014603E17,218.0,12716.0,8.0
9.2075E17,217.0,12716.0,8.0
9.2122602E17,215.0,28547.0,8.0
9.2156199E17,214.0,18021.0,8.0
