id,date,TotalCount,nCluster
1.7902332E7,1.0,4.0,4.0
1.7936868E7,1.0,12.0,4.0
1.8877176E7,1.0,4.0,4.0
1.8955058E7,1.0,8.0,4.0
1.9557008E7,1.0,8.0,4.0
1.9617424E7,1.0,2.0,4.0
1.9688092E7,1.0,4.0,4.0
1.9747084E7,2.0,2.0,4.0
1.9880132E7,1.0,2.0,4.0
1.9899072E7,1.0,2.0,4.0
1.996828E7,1.0,4.0,4.0
2.002173E7,1.0,4.0,4.0
2.0343404E7,1.0,12.0,4.0
2.0440288E7,1.0,6.0,4.0
2.050798E7,1.0,2.0,4.0
2.0832026E7,1.0,2.0,4.0
2.0939548E7,1.0,6.0,4.0
2.1108176E7,1.0,4.0,4.0
2.1366232E7,1.0,4.0,4.0
2.2924748E7,1.0,8.0,4.0
2.3879044E7,1.0,4.0,4.0
2.3916688E7,2.0,16.0,4.0
2.4081136E7,1.0,4.0,4.0
2.4471436E7,1.0,16.0,4.0
2.4533564E7,1.0,8.0,4.0
2.4638368E7,2.0,8.0,4.0
2.5066688E7,1.0,12.0,4.0
2.5312212E7,1.0,2.0,4.0
2.6477054E7,2.0,2.0,4.0
2.7072348E7,1.0,2.0,4.0
2.7442314E7,1.0,2.0,4.0
2.8366704E7,1.0,12.0,4.0
2.8450256E7,1.0,4.0,4.0
2.8536012E7,1.0,8.0,4.0
3.28502E7,1.0,10.0,4.0
3.2992128E7,1.0,2.0,4.0
3.4428192E7,1.0,2.0,4.0
3.4651232E7,1.0,2.0,4.0
3.4774368E7,1.0,2.0,4.0
3.48782E7,2.0,14.0,4.0
3.5697296E7,1.0,6.0,4.0
3.5778824E7,1.0,16.0,4.0
3.7648056E7,1.0,8.0,4.0
3.961424E7,1.0,4.0,4.0
4.044464E7,1.0,8.0,4.0
4.2741032E7,1.0,4.0,4.0
4.276028E7,1.0,4.0,4.0
4.2924744E7,1.0,4.0,4.0
4.3351708E7,1.0,6.0,4.0
4.4568712E7,2.0,16.0,4.0
4.4791736E7,1.0,4.0,4.0
4.504764E7,2.0,4.0,4.0
4.507986E7,1.0,6.0,4.0
4.5580956E7,1.0,28.0,4.0
4.6520272E7,1.0,4.0,4.0
4.6789368E7,1.0,4.0,4.0
4.754632E7,1.0,4.0,4.0
4.9092672E7,1.0,2.0,4.0
5.044478E7,1.0,4.0,4.0
5.2833128E7,1.0,12.0,4.0
5.4490568E7,1.0,2.0,4.0
5.6576256E7,1.0,4.0,4.0
5.6873912E7,1.0,2.0,4.0
5.8131064E7,1.0,4.0,4.0
6.2540888E7,2.0,32.0,4.0
6.2812852E7,1.0,2.0,4.0
6.52681E7,1.0,8.0,4.0
6.9999744E7,1.0,2.0,4.0
7.1721648E7,1.0,2.0,4.0
7.196684E7,2.0,4.0,4.0
7.330084E7,1.0,4.0,4.0
7.4466352E7,1.0,2.0,4.0
7.4559992E7,1.0,4.0,4.0
7.5581384E7,1.0,4.0,4.0
7.5664768E7,1.0,8.0,4.0
7.6489264E7,1.0,4.0,4.0
7.8136936E7,1.0,4.0,4.0
8.0584624E7,1.0,2.0,4.0
8.1369384E7,1.0,2.0,4.0
8.3943432E7,1.0,2.0,4.0
8.4415064E7,1.0,6.0,4.0
8.8055024E7,1.0,2.0,4.0
8.8301624E7,1.0,4.0,4.0
8.9532872E7,1.0,2.0,4.0
8.9661656E7,1.0,4.0,4.0
9.0698672E7,1.0,2.0,4.0
9.2210416E7,1.0,2.0,4.0
9.5076536E7,4.0,32.0,4.0
9.5577304E7,1.0,2.0,4.0
9.714428E7,1.0,4.0,4.0
9.7357608E7,1.0,2.0,4.0
9.7901184E7,1.0,4.0,4.0
9.8973776E7,1.0,14.0,4.0
9.9714312E7,1.0,2.0,4.0
9.9798808E7,1.0,2.0,4.0
1.00756888E8,2.0,32.0,4.0
1.0271996E8,1.0,2.0,4.0
1.02898928E8,1.0,2.0,4.0
1.03515744E8,1.0,4.0,4.0
1.03915552E8,2.0,12.0,4.0
1.0421804E8,1.0,4.0,4.0
1.05288256E8,1.0,8.0,4.0
1.05310176E8,1.0,2.0,4.0
1.10805968E8,1.0,2.0,4.0
1.13223712E8,1.0,16.0,4.0
1.13782432E8,1.0,2.0,4.0
1.14770416E8,1.0,6.0,4.0
1.16430288E8,1.0,18.0,4.0
1.17858976E8,1.0,2.0,4.0
1.18610408E8,1.0,2.0,4.0
1.1907916E8,1.0,16.0,4.0
1.23618704E8,1.0,8.0,4.0
1.25671992E8,1.0,6.0,4.0
1.26918976E8,1.0,4.0,4.0
1.276614E8,1.0,4.0,4.0
1.27870928E8,1.0,6.0,4.0
1.27957968E8,1.0,4.0,4.0
1.29949448E8,1.0,20.0,4.0
1.31340048E8,1.0,8.0,4.0
1.31917472E8,1.0,4.0,4.0
1.34318112E8,1.0,4.0,4.0
1.38912784E8,1.0,4.0,4.0
1.40199456E8,2.0,4.0,4.0
1.40365568E8,1.0,24.0,4.0
1.41398624E8,1.0,2.0,4.0
1.47035936E8,1.0,4.0,4.0
1.49290272E8,1.0,2.0,4.0
1.50041568E8,2.0,8.0,4.0
1.53441248E8,1.0,12.0,4.0
1.55368544E8,1.0,4.0,4.0
1.56271504E8,1.0,8.0,4.0
1.56772032E8,1.0,4.0,4.0
1.5927584E8,1.0,8.0,4.0
1.65020784E8,1.0,6.0,4.0
1.65953888E8,1.0,4.0,4.0
1.69083088E8,1.0,2.0,4.0
1.72957072E8,1.0,30.0,4.0
1.73593552E8,1.0,12.0,4.0
1.75871888E8,2.0,4.0,4.0
1.77584656E8,3.0,8.0,4.0
1.79952704E8,1.0,2.0,4.0
1.80020864E8,1.0,2.0,4.0
1.81475968E8,1.0,2.0,4.0
1.82946704E8,1.0,2.0,4.0
1.85868272E8,1.0,4.0,4.0
1.86403552E8,1.0,12.0,4.0
1.88062784E8,1.0,8.0,4.0
1.88489376E8,1.0,2.0,4.0
1.88662288E8,2.0,8.0,4.0
1.906492E8,1.0,2.0,4.0
1.944056E8,1.0,8.0,4.0
1.965488E8,1.0,6.0,4.0
1.9704168E8,1.0,2.0,4.0
1.97337984E8,2.0,6.0,4.0
1.97810016E8,1.0,4.0,4.0
1.97810416E8,1.0,4.0,4.0
1.97936768E8,2.0,16.0,4.0
2.00726096E8,2.0,20.0,4.0
2.05700048E8,1.0,4.0,4.0
2.09165024E8,1.0,4.0,4.0
2.09290896E8,1.0,4.0,4.0
2.168528E8,1.0,2.0,4.0
2.19114048E8,1.0,6.0,4.0
2.26862816E8,1.0,2.0,4.0
2.269292E8,1.0,8.0,4.0
2.29902704E8,1.0,2.0,4.0
2.30451056E8,1.0,6.0,4.0
2.30832128E8,1.0,2.0,4.0
2.35101888E8,1.0,4.0,4.0
2.36516672E8,1.0,12.0,4.0
