user_id,days,TotalCount
3356281395,1055,16055
348864589,2483,298
68569604,3193,26867
842074118,2068,16165
733360368,2120,34761
16314587,3536,130275
18914960,3418,4011
629359957,2146,63334
22954354,3366,895233
52197012,3250,75979
1138223996,1937,562
36145914,3312,64990
833284898672635906,458,4661
2738735059,1375,368
931887836344619008,186,1685
3308574030,1020,16812
796533073303240704,559,5599
3013265370,1200,6595
4720620588,867,32475
2545019935,1449,74998
786457943759687680,587,18883
881168435702411265,326,7328
58554951,3229,29143
291843919,2578,18110
4490696662,890,5559
33410754,3320,469645
755127249804722176,674,19086
709428021200084992,800,44047
796182711450804224,560,63266
826603487949635585,476,197
919412090628009984,220,8095
929348750748745730,193,4234
1967249774,1679,8497
2222519540,1635,4344
111332093,3030,38826
1626305472,1761,38994
568723014,2212,2072
307462774,2551,3340
370487237,2448,20472
1293009337,1886,6569
16113629,3549,9960
166949672,2869,1268
784879777198972928,591,54408
3237016341,1114,55930
25605222,3350,20534
898193230767865857,279,304
789125179423072256,580,20951
903205898604109824,265,674
19494356,3405,5887
864837564448026625,371,7856
947355153916497920,143,23271
823377883066408960,485,136628
814541534691491841,510,40242
766091830563835904,643,23040
900077470904406017,274,25
25817610,3349,76828
2250377624,1618,18019
22219572,3371,5288
17262898,3482,20922
847945278674128897,417,8066
371529677,2446,6372
42055453,3287,9648
4743804121,863,807
34462355,3317,58319
785867439275905025,589,45988
2191771077,1643,25037
1099573304,1951,110266
25877017,3349,416980
1508094133,1806,16827
780537959338487812,603,150894
738120427948658689,721,2491
1375583112,1855,35725
1199259601,1918,17793
945708087259881472,148,9579
863062729631903749,376,2334
539343306,2247,2257
3357485747,1055,65122
145338063,2927,52537
713830012,1682,55531
1908065586,1700,769
552613958,2231,7309
797964559743008768,555,17505
2461734596,1490,13598
432002514,2358,1065
23318600,3363,44272
228456649,2712,14398
867058434381893633,365,13382
2923534360,1255,157399
74559989,3172,58271
40602923,3293,49585
819930289640263680,495,4247
737300101,2118,23342
815943106507997184,506,9506
49627141,3257,87
365168112,2457,522
1668150649,1744,43951
468477322,2316,18606
1071515880,1961,95659
947610275863134208,142,703
816642274121678850,504,1690
788077060006809600,583,42516
762289067358683137,654,16847
18884545,3418,10839
734630712754745345,730,2393
2598441895,1422,143699
184207734,2824,2664
1674315427,1741,534430
3766084042,971,151496
44830932,3274,401
47080783,3265,8847
1052920855,1968,973
761983062511120385,655,17599
843819230,2067,3613
2541122973,1473,67845
27463702,3342,53465
1017619134,1983,2841
389740116,2414,9561
2218351638,1638,94324
119966660,3001,11456
21051388,3382,2339
1564967204,1785,10443
1598812760,1772,239504
762728510267863040,653,232500
705585036108685312,810,21209
896321540,2039,36686
868284844089987072,361,27905
539507024,2246,91608
922523934305656832,212,19387
17446621,3474,2834888
38196372,3304,796
3146346083,1141,69411
784540562900877312,592,3607
3480811094,989,2851
960719075872858113,106,2152
956621527822290944,118,225
3042448767,1191,6772
4819292505,858,35861
14364337,3694,45232
27464152,3342,81971
2394372163,1528,52788
756664311620243456,669,1472
4266990442,911,50324
31269363,3325,20578
1265788178,1896,16702
777671811559329792,611,6777
2273723534,1601,3062
796430551200702464,560,18032
199781645,2785,31928
22614415,3368,777
388938945,2416,8864
3531063072,984,39373
3557248336,991,3847
953438791104126977,126,6790
2517244699,1461,5571
506374922,2277,7070
774485690050543616,620,27438
1146567146,1934,3228
176407708,2844,1603
2230622856,1630,540
887865213319610369,307,49336
4883488983,836,140380
460617733,2324,1238
140302637,2940,2271
2244144583,1622,6216
1650177931,1751,52872
3374126201,1045,23832
44229815,3276,3453
23330669,3363,15402
34831910,3316,97278
28071548,3339,16603
3410590930,1018,7932
2372361066,1541,16724
213901605,2751,51399
2277864330,1599,69161
3197820038,1103,336
1705836090,1729,8961
72289373,3180,3356
21062734,3382,64289
798932221142790144,553,6082
817972464,2080,5917
137932942,2947,17801
825501876208680960,479,5981
859140695663181828,387,3631
248378447,2663,9556
746947886366195712,696,14441
277856441,2604,12178
3148645705,1139,87731
93111391,3098,191821
341708717,2495,4125
86236295,3127,26750
2366303900,1544,210751
830652826481258496,465,73588
482230775,2301,1536
751834539933200384,683,23630
235592742,2692,399
253997764,2651,35248
851500130872184832,408,16877
779516085259341824,606,108321
795102924401557504,563,10088
893328892089450496,292,9463
746134043318640644,698,84217
817158775610179584,502,134108
368048293,2452,6744
48754929,3260,173291
3113032010,1152,12331
3234257906,1085,556
1680488258,1739,60996
19727603,3401,1958
4260601546,911,155794
356859394,2471,33689
