userId,Tweet,Total
539626516,2,12
541655148,7,132
543179446,1,2
546926047,1,4
548133801,1,2
548662286,2,12
551948855,1,4
560697043,2,8
561094667,1,2
564111558,1,2
564957285,1,4
565801328,1,4
568194992,1,12
571080227,1,30
571821457,2,24
572691692,1,4
573598168,2,8
574405350,1,12
579121150,1,4
580773322,1,6
586580706,2,8
586853690,1,4
588738288,1,16
590387760,1,4
598979212,1,4
604883440,2,16
605156193,1,2
606765468,1,12
609401800,2,36
610719802,1,4
610763051,1,4
611817117,1,6
620350600,1,12
620978590,1,2
621455871,1,4
626533797,1,24
626670870,1,2
626730984,1,10
633706518,1,2
636380807,1,4
705212660,1,6
706921525,1,2
723034524,1,4
738322298,1,8
738603781,2,48
748576578,1,12
753358988,1,4
753661242,1,4
759622668,1,12
764556974,1,4
770133078,1,24
771008910,1,4
779095430,1,2
794870328,1,2
805230566,1,8
812697114,1,2
816695316,1,2
820569432,2,4
822522438,1,4
823020558,1,16
826631318,1,8
844357513,7,66
844541102,2,6
846416426,1,12
852163105,1,8
854606864,1,2
864377233,1,4
879060476,1,2
889978200,2,8
894255164,1,2
895929354,1,4
896321540,1,6
908656206,1,2
910968402,1,4
914427942,1,4
921463903,1,4
927713918,2,12
933631656,1,12
945560804,1,4
946948236,1,12
948762752,1,8
955433029,1,16
972634513,1,4
975046748,1,2
985030231,1,2
995882911,1,4
1015908282,1,2
1023035785,1,8
1028302788,7,70
1037951744,1,2
1039375705,1,4
1047964470,1,6
1049041352,1,6
1052804634,1,8
1054939406,1,2
1066435777,1,2
1069771278,1,2
1080726043,1,6
1107546272,1,8
1162324724,1,4
1166956926,1,4
1196479998,1,2
1198183068,1,2
1203629832,1,24
1258146854,1,14
1270071012,1,2
1276496148,1,2
1281369054,1,4
1283101332,1,2
1284357355,1,12
1289880048,1,2
1306892227,1,2
1324432464,3,6
1324885873,1,24
1336746498,1,2
1341479558,1,2
1353250562,1,2
1353259867,1,20
1356571315,1,8
1370586661,1,6
1377623976,1,12
1389446737,1,4
1419367248,2,32
1426448479,1,2
1427711858,1,4
1439415763,1,4
1442376572,1,2
1443662814,1,16
1446885762,1,2
1460107844,1,4
